items	source	phylum	class	order	family	genus
g3_MAG_00019	Tatoosh_2017	Proteobacteria	Gammaproteobacteria	UBA10353	UBA7415	
g3_MAG_00022	Tatoosh_2017	Proteobacteria	Gammaproteobacteria	UBA10353	UBA7415	Arenicella
g1_MAG_00001	Squaxin_2019	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	UBA985
g1_MAG_00006	Squaxin_2019	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	
g1_MAG_00007	Squaxin_2019	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	
g2_MAG_00015	Tatoosh_2019	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	
g2_MAG_00019	Tatoosh_2019	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	
g2_MAG_00034	Tatoosh_2019	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	
g2_MAG_00037	Tatoosh_2019	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	
g3_MAG_00010	Tatoosh_2017	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	
g3_MAG_00017	Tatoosh_2017	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	
g3_MAG_00023	Tatoosh_2017	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	SW10
g2_MAG_00020	Tatoosh_2019	Bdellovibrionota	UBA2361	SZUA-149	SZUA-149	
